load_cost_per_mw,location,offgrid_array_mw,offgrid_battery_mwh,offgrid_array_cost,offgrid_battery_cost,offgrid_power_system_cost,offgrid_total_cost,offgrid_cost_per_util,offgrid_utilization,offgrid_time_s,grid_connection_cost,grid_elec_cost,grid_power_system_cost,grid_total_cost,grid_cost_per_util,grid_utilization,grid_lcoe
10000.0,Denmark,1.23981086023019,0.0,247962.172046038,0.0,247962.172046038,257962.172046038,1660169.7189642948,0.15538301241090519,2.8084638118743896,268000.0,14547411.616701068,14815411.616701068,14825411.616701068,14825411.616701068,1.0,67.6502813547994
14677.992676220705,Denmark,1.3497816425116664,0.0,269956.3285023333,0.0,269956.3285023333,284634.32117855403,1689300.7738808284,0.1684923878443884,2.742563486099243,268000.0,14547411.616701068,14815411.616701068,14830089.60937729,14830089.60937729,1.0,67.6502813547994
21544.346900318822,Denmark,1.365186928492325,0.0,273037.385698465,0.0,273037.385698465,294581.7325987838,1729951.8553552842,0.1702831970074016,2.6340763568878174,268000.0,14547411.616701068,14815411.616701068,14836955.963601388,14836955.963601388,1.0,67.6502813547994
31622.776601683792,Denmark,1.3877987959722438,0.0,277559.75919444876,0.0,277559.75919444876,309182.5357961326,1788358.738278812,0.17288619401591776,2.7000863552093506,268000.0,14547411.616701068,14815411.616701068,14847034.393302752,14847034.393302752,1.0,67.6502813547994
46415.88833612782,Denmark,1.5254652144044296,0.0,305093.04288088594,0.0,305093.04288088594,351508.93121701374,1869070.8634238895,0.18806613387204382,2.6392669677734375,268000.0,14547411.616701068,14815411.616701068,14861827.505037196,14861827.505037196,1.0,67.6502813547994
68129.20690579608,Denmark,1.5771631697359103,0.0,315432.63394718204,0.0,315432.63394718204,383561.8408529781,1982926.8529235418,0.1934321683563219,2.6575379371643066,268000.0,14547411.616701068,14815411.616701068,14883540.823606864,14883540.823606864,1.0,67.6502813547994
100000.0,Denmark,1.6530453907090177,0.0,330609.07814180356,0.0,330609.07814180356,430609.07814180356,2142588.3572102687,0.2009761122301966,2.6145031452178955,268000.0,14547411.616701068,14815411.616701068,14915411.616701068,14915411.616701068,1.0,67.6502813547994
146779.92676220674,Denmark,1.935958572222149,0.0,387191.7144444298,0.0,387191.7144444298,533971.6412066366,2363190.148637355,0.22595373525678047,2.5996737480163574,268000.0,14547411.616701068,14815411.616701068,14962191.543463275,14962191.543463275,1.0,67.6502813547994
215443.46900318822,Denmark,2.1131203597264197,0.0,422624.0719452839,0.0,422624.0719452839,638067.5409484721,2666433.6196168307,0.23929624058676663,2.6359329223632812,268000.0,14547411.616701068,14815411.616701068,15030855.085704256,15030855.085704256,1.0,67.6502813547994
316227.7660168379,Denmark,2.167869200487223,0.0,433573.8400974446,0.0,433573.8400974446,749801.6061142825,3084041.588228116,0.2431230528720167,2.738266944885254,268000.0,14547411.616701068,14815411.616701068,15131639.382717906,15131639.382717906,1.0,67.6502813547994
464158.8833612772,Denmark,2.520083270025731,0.0,504016.65400514624,0.0,504016.65400514624,968175.5373664235,3655768.852348605,0.26483499818223755,2.759230852127075,268000.0,14547411.616701068,14815411.616701068,15279570.500062346,15279570.500062346,1.0,67.6502813547994
681292.0690579608,Denmark,2.8453905421154566,0.0,569078.1084230914,0.0,569078.1084230914,1250370.177481052,4445390.091982861,0.28127344318692304,2.6589441299438477,268000.0,14547411.616701068,14815411.616701068,15496703.685759028,15496703.685759028,1.0,67.6502813547994
1000000.0,Denmark,3.9037552925138392,0.0,780751.0585027678,0.0,780751.0585027678,1780751.0585027677,5585302.975567957,0.31882801457546484,2.6528801918029785,268000.0,14547411.616701068,14815411.616701068,15815411.616701068,15815411.616701068,1.0,67.6502813547994
1467799.2676220676,Denmark,4.399790673705041,1.8565262021876086,879958.1347410083,371305.2404375217,1251263.3751785299,2719062.6428005975,6875894.612824718,0.3954485628283309,2.7172064781188965,268000.0,14547411.616701068,14815411.616701068,16283210.884323135,16283210.884323135,1.0,67.6502813547994
2154434.6900318824,Denmark,9.337157727958804,10.899232235752487,1867431.5455917607,2179846.4471504977,4047277.992742258,6201712.6827741405,7946972.755714973,0.7803868055687306,2.751563310623169,268000.0,14547411.616701068,14815411.616701068,16969846.306732953,16969846.306732953,1.0,67.6502813547994
3162277.660168379,Denmark,9.716375242110487,11.510038106489564,1943275.0484220975,2302007.6212979127,4245282.66972001,7407560.3298883885,9218730.09555051,0.803533702918985,2.849275827407837,268000.0,14547411.616701068,14815411.616701068,17977689.276869446,17977689.276869446,1.0,67.6502813547994
4641588.833612773,Denmark,11.100048372675012,12.368446939416218,2220009.6745350026,2473689.3878832436,4693699.062418247,9335287.896031018,11082342.13054282,0.8423569482034905,2.9119839668273926,268000.0,14547411.616701068,14815411.616701068,19457000.45031384,19457000.45031384,1.0,67.6502813547994
6812920.690579608,Denmark,12.42140904052551,10.802057837864808,2484281.8081051023,2160411.5675729616,4644693.375678064,11457614.066257672,13923433.802249877,0.8229014644653423,2.773487091064453,268000.0,14547411.616701068,14815411.616701068,21628332.307280675,21628332.307280675,1.0,67.6502813547994
10000000.0,Denmark,10.94825804302377,15.725847472212926,2189651.608604754,3145169.4944425854,5334821.103047339,15334821.10304734,17788558.839086566,0.8620609034022666,2.847294569015503,268000.0,14547411.616701068,14815411.616701068,24815411.616701066,24815411.616701066,1.0,67.6502813547994
14677992.676220676,Denmark,18.310601101051,18.866772946701595,3662120.2202101997,3773354.589340319,7435474.809550518,22113467.485771194,23511275.459726818,0.9405473354114722,2.773343563079834,268000.0,14547411.616701068,14815411.616701068,29493404.292921744,29493404.292921744,1.0,67.6502813547994
21544346.900318824,Denmark,29.616676687164052,15.656408654501575,5923335.33743281,3131281.730900315,9054617.068333125,30598963.96865195,31629175.13992432,0.9674284527903488,3.4372360706329346,268000.0,14547411.616701068,14815411.616701068,36359758.51701989,36359758.51701989,1.0,67.6502813547994
31622776.60168379,Denmark,18.198995354984692,13.605127735976215,3639799.0709969383,2721025.5471952427,6360824.618192181,37983601.21987598,41457789.07853912,0.9161993937476619,3.016000270843506,268000.0,14547411.616701068,14815411.616701068,46438188.21838486,46438188.21838486,1.0,67.6502813547994
46415888.33612773,Denmark,15.044683768260159,15.863238322800624,3008936.7536520315,3172647.6645601247,6181584.418212157,52597472.75433989,57749716.03702471,0.9107832274122076,2.7756409645080566,268000.0,14547411.616701068,14815411.616701068,61231299.952828795,61231299.952828795,1.0,67.6502813547994
68129206.90579608,Denmark,26.599741937631087,26.958352057849453,5319948.387526218,5391670.411569891,10711618.799096107,78840825.70489219,80161578.78777905,0.9835238638901631,2.749110221862793,268000.0,14547411.616701068,14815411.616701068,82944618.52249715,82944618.52249715,1.0,67.6502813547994
